CWA,riskp_est
BRO,51.42064817312989
HNX,49.152622288888296
CRP,48.62400335109024
EPZ,46.72623235255962
VEF,46.07891135355774
LOX,45.56830701255702
HGX,44.91752637113306
MFL,44.61407636583839
EWX,44.186101194059674
PSR,43.99901579306585
LIX,43.852315982236064
MAF,43.600739570315596
LCH,43.52491147689263
FWD,43.33621121301872
SHV,43.246450228554195
TWC,43.05678467521154
SJT,43.02364052891136
JAN,42.90876760151137
STO,42.67179735173885
OUN,42.51832519561403
MOB,42.40616486048835
SGX,42.29642573789276
TBW,42.24565757251707
JAX,41.85836380323404
CAE,41.83056532241929
TAE,41.79318745227824
MLB,41.79268289572854
BMX,41.78656723882929
ILM,41.777577775969085
TSA,41.615315162160904
CHS,41.439517021371906
OKX,41.41020331079371
MEG,41.40912135064214
LZK,41.280867310696756
LUB,41.007139190737476
FFC,41.003014814772904
AKQ,40.92588156587977
MHX,40.49275447601498
AMA,40.389523656936056
HUN,40.249548973404615
PDT,39.87947491842695
RAH,39.81333516531833
JKL,39.45218256475579
MTR,39.37527612768403
GSP,39.30161032613097
LWX,39.226620434563756
ABQ,38.99269361046486
PHI,38.97260334570906
LMK,38.825804997492
LSX,38.5875361581745
OHX,38.54363408774832
PAH,38.54306804802881
MRX,38.41735999708022
RNK,38.29217728396985
MFR,38.19928162649352
SGF,38.025990581586505
LOT,38.00288775411945
PQR,37.911449096884624
EAX,37.69149993590354
ICT,37.33134942818468
DDC,37.269203090530944
SEW,37.26767188949953
RLX,37.26340768260691
SLC,37.2632804872606
CTP,36.86716452103076
EKA,36.806930118868465
FGZ,36.77398045878896
TOP,36.7547612750815
OTX,36.71815063791251
IND,36.26728058697246
PBZ,36.25828776745579
ILN,36.23770643325441
REV,35.99166979001383
DTX,35.89268792810019
ILX,35.709742200377015
BOI,35.705555381686636
BUF,35.651176311111676
IWX,35.53284299910176
BGM,35.48673820275736
CLE,35.411821418074695
ALY,35.221831058298
BOX,34.968599757710216
GLD,34.916184789301184
DVN,34.89298205765788
OAX,34.86164751123308
GID,34.70175978953722
LKN,34.61936403784996
MKX,34.43710525846247
PUB,34.41732505642601
GGW,34.38972754658171
DMX,34.265406511883995
GRR,34.06853955399517
FSD,33.97744411969916
BOU,33.8958588553331
LBF,33.85023154616547
BYZ,33.67128592533187
PIH,33.63564705366474
BTV,33.4377061243973
CAR,33.38938344418024
ABR,33.38619302156074
UNR,33.22851819919919
GJT,33.18547600602208
GYX,33.09385755576936
CYS,33.04011837799519
MPX,32.23432663362616
APX,32.2211042393286
ARX,32.19391867648538
GRB,32.155320673639075
RIW,32.12140650037759
MSO,31.75384617459116
BIS,31.43927699377646
MQT,31.33652809286785
TFX,31.301846424756068
FGF,31.255510436175335
DLH,30.46976717393823
